Video name,Codec,Timestamp,CPU_Usage(%),Memory_Usage(MB)
pexels-taryn-elliott-5548361 (2160p),mjpeg,1699015501.641824,53.9,120.38671875
pexels-taryn-elliott-5548361 (2160p),mjpeg,1699015501.8432357,77.0,132.2578125
pexels-taryn-elliott-5548361 (2160p),mjpeg,1699015502.043779,92.4,120.390625
pexels-taryn-elliott-5548361 (2160p),mjpeg,1699015502.24395,75.2,123.59765625
pexels-taryn-elliott-5548361 (2160p),mjpeg,1699015502.4447405,61.3,132.2578125
pexels-taryn-elliott-5548361 (2160p),mjpeg,1699015502.646187,69.3,120.390625
pexels-taryn-elliott-5548361 (2160p),mjpeg,1699015502.8470907,69.3,120.390625
pexels-taryn-elliott-5548361 (2160p),mjpeg,1699015503.0480437,69.3,120.390625
pexels-taryn-elliott-5548361 (2160p),mjpeg,1699015503.2483518,84.7,120.390625
pexels-taryn-elliott-5548361 (2160p),mjpeg,1699015503.448784,30.8,120.390625
